Administrative_Area,Cuisine,Number of restaurants
CORK COUNTY,Brazilian,3
CORK COUNTY,Colombian,0
CORK COUNTY,Peruvian,0
CORK COUNTY,Venezuelan,0
CORK COUNTY,Moroccan,2
CORK COUNTY,Mexican,5
CORK COUNTY,Egyptian,0
CORK COUNTY,Iraqi,0
CORK COUNTY,Israeli,0
CORK COUNTY,Kurdish,0
CORK COUNTY,Lebanese,1
CORK COUNTY,Persian,0
CORK COUNTY,Syrian,0
CORK COUNTY,Yemeni,0
CORK COUNTY,Pakistani,0
CORK COUNTY,Polish,3
CORK COUNTY,Portuguese,4
CORK COUNTY,Russian,0
CORK COUNTY,Scandinavian,0
CORK COUNTY,Scottish,0
CORK COUNTY,Slovak,0
CORK COUNTY,Spanish,4
CORK COUNTY,Sri Lankan,0
CORK COUNTY,Swiss,0
CORK COUNTY,Turkish,4
CORK COUNTY,Ukranian,0
FINGAL,Afghan,0
FINGAL,African,1
FINGAL,American,5
FINGAL,Burmese,0
FINGAL,Cambodian,0
FINGAL,Chinese,5
FINGAL,Filipino,0
FINGAL,Himalayan,1
FINGAL,Indonesian,0
FINGAL,Japanese,2
FINGAL,Korean,0
FINGAL,Malay,1
FINGAL,Mongolian,0
FINGAL,Thai,4
FINGAL,Tibetan,0
FINGAL,Vietnamese,1
FINGAL,Australian,0
FINGAL,Austrian,0
FINGAL,Bangladeshi,0
FINGAL,Belgian,0
FINGAL,Caribbean,0
FINGAL,Caucasian,0
FINGAL,Czech,0
FINGAL,Dutch,0
FINGAL,Belarusian,0
FINGAL,Bosnian,0
FINGAL,Bulgarian,0
FINGAL,Romanian,0
FINGAL,Tatar,0
FINGAL,English,0
FINGAL,French,3
FINGAL,German,0
FINGAL,Greek,1
FINGAL,Hawaiian,1
FINGAL,Hungarian,0
FINGAL,Indian,4
FINGAL,Italian,13
FINGAL,Salvadoran,0
FINGAL,Argentinian,0
FINGAL,Brazilian,0
FINGAL,Colombian,0
FINGAL,Peruvian,0
FINGAL,Venezuelan,0
FINGAL,Moroccan,0
FINGAL,Mexican,1
FINGAL,Egyptian,0
FINGAL,Iraqi,0
FINGAL,Israeli,0
FINGAL,Kurdish,0
FINGAL,Lebanese,0
FINGAL,Persian,1
FINGAL,Syrian,0
FINGAL,Yemeni,0
FINGAL,Pakistani,0
FINGAL,Polish,0
FINGAL,Portuguese,1
FINGAL,Russian,0
FINGAL,Scandinavian,0
FINGAL,Scottish,0
FINGAL,Slovak,0
FINGAL,Spanish,2
FINGAL,Sri Lankan,0
FINGAL,Swiss,0
FINGAL,Turkish,0
FINGAL,Ukranian,0
SOUTH DUBLIN,Afghan,0
SOUTH DUBLIN,African,0
SOUTH DUBLIN,American,3
SOUTH DUBLIN,Burmese,0
SOUTH DUBLIN,Cambodian,0
SOUTH DUBLIN,Chinese,15
SOUTH DUBLIN,Filipino,0
SOUTH DUBLIN,Himalayan,0
SOUTH DUBLIN,Indonesian,0
SOUTH DUBLIN,Japanese,1
SOUTH DUBLIN,Korean,0
SOUTH DUBLIN,Malay,1
SOUTH DUBLIN,Mongolian,0
SOUTH DUBLIN,Thai,3
SOUTH DUBLIN,Tibetan,0
SOUTH DUBLIN,Vietnamese,0
SOUTH DUBLIN,Australian,2
SOUTH DUBLIN,Austrian,0
SOUTH DUBLIN,Bangladeshi,0
SOUTH DUBLIN,Belgian,0
SOUTH DUBLIN,Caribbean,0
SOUTH DUBLIN,Caucasian,0
SOUTH DUBLIN,Czech,0
SOUTH DUBLIN,Dutch,0
SOUTH DUBLIN,Belarusian,0
SOUTH DUBLIN,Bosnian,0
SOUTH DUBLIN,Bulgarian,0
SOUTH DUBLIN,Romanian,0
SOUTH DUBLIN,Tatar,0
SOUTH DUBLIN,English,0
SOUTH DUBLIN,French,3
SOUTH DUBLIN,German,1
SOUTH DUBLIN,Greek,0
SOUTH DUBLIN,Hawaiian,0
SOUTH DUBLIN,Hungarian,0
SOUTH DUBLIN,Indian,4
SOUTH DUBLIN,Italian,4
SOUTH DUBLIN,Salvadoran,0
SOUTH DUBLIN,Argentinian,0
SOUTH DUBLIN,Brazilian,0
