Administrative_Area,Cuisine,Restaurant_id,Restaurant_Name,Restaurant_Lat,Restaurant_Lon
DUBLIN CITY,Chinese,4d543973dcb1a1432c6dbcbf,Ho Ho,53.322224239808975,-6.267240394286227
DUBLIN CITY,Chinese,4b72b36ef964a5205e842de3,Charlies 5,53.336757,-6.265493
DUBLIN CITY,Japanese,4af48636f964a5207cf321e3,Yamamori Sushi,53.34682271991278,-6.263758740892518
DUBLIN CITY,Japanese,51955e89498e30a47e57d4e0,Banyi Japanese Dining,53.34585413275388,-6.261795992818935
DUBLIN CITY,Japanese,5792a1f4498edf90e50eb9be,Eatokyo,53.346096,-6.2625737
DUBLIN CITY,Japanese,4ade0f34f964a520797121e3,Yamamori Noodles,53.3428214724645,-6.2644436120012115
DUBLIN CITY,Japanese,561b974c498e1a6725986220,Zakura Noodle & Sushi,53.33382739335188,-6.244926075095207
DUBLIN CITY,Japanese,4f05b6f38b81bb1b02d51f42,Musashi Noodles & Sushi Bar,53.34696817829043,-6.268146554104451
DUBLIN CITY,Japanese,58de509744587f5a0861ef98,Takara,53.3479168891344,-6.264157286811008
DUBLIN CITY,Japanese,588b4446fc73d444367e0066,Musashi,53.34103610627617,-6.245054295708118
DUBLIN CITY,Japanese,4cd56f3367c7236a69b61277,Ichiman,53.34769096969504,-6.263597792142745
DUBLIN CITY,Japanese,4af814edf964a520e80a22e3,Ukiyo Bar,53.34304618866043,-6.263695888601069
DUBLIN CITY,Japanese,4b62e7c8f964a5202e582ae3,Tippenyaki,53.32255587013584,-6.2651126818761975
DUBLIN CITY,Japanese,509cf91ee4b005ecff5c79f2,J2 Grill & Sushi,53.34771247771018,-6.243839757690937
DUBLIN CITY,Japanese,527cef80498e27894173af05,Musashi,53.349638749138265,-6.243395852073718
DUBLIN CITY,Japanese,5637cc1f498ec77286db05b7,Zucconi Sushi,53.349989,-6.253579
DUBLIN CITY,Japanese,4e4fd10caeb70f1284a53e85,Yamamori Izakaya,53.34329823750577,-6.264454421541874
DUBLIN CITY,Japanese,4ade0f38f964a5208a7121e3,wagamama,53.340336,-6.262641
DUBLIN CITY,Japanese,5322071e498e96a03850732e,Fujiyama Sushi,53.35062459166084,-6.260559786567972
DUBLIN CITY,Japanese,55a15c0f498e2941786f677c,Taste at Rustic,53.34301646067142,-6.264292795324801
DUBLIN CITY,Japanese,5ae2faf22b984400390b1995,Tokyo Kitchen,53.349294,-6.276035
DUBLIN CITY,Japanese,5248333611d23aa22ccb850f,Zakura Noodle & Sushi,53.336889113725384,-6.265576767459591
DUBLIN CITY,Japanese,542946bf498ef4e6e7b4afcc,Japanese Kitchen @ J2,53.34689683534879,-6.257115493023353
DUBLIN CITY,Japanese,561bc967498e07b11e7af1f1,Aoki,53.332186437343026,-6.2646521801585875
DUBLIN CITY,Japanese,5acbca6fd41bb775c58d4f65,Musashi,53.351138,-6.264117
DUBLIN CITY,Japanese,5409de55498e23475796305c,Kokoro Bento - The Ramen Bar,53.34161031356423,-6.26277336188155
DUBLIN CITY,Japanese,54f1c93c498e5a9d29362504,KuRaud,53.34590148925781,-6.255645751953125
DUBLIN CITY,Japanese,4b128fc1f964a520d58a23e3,Michie Sushi,53.32539546923294,-6.251777211275069
DUBLIN CITY,Japanese,4afebff2f964a5202c3022e3,Kokoro,53.347738986969944,-6.263548033073116
DUBLIN CITY,Japanese,4afd6359f964a520892722e3,Sushi King,53.33797647630327,-6.252918239860896
DUBLIN CITY,Japanese,5855a654561ded1fe278b6c7,Wasabi Restaurant Sushi Bar,53.35709922282263,-6.264328483516979
DUBLIN CITY,Japanese,4aff06bdf964a5202f3322e3,The Hop House (Kim Chi),53.35298138036261,-6.260771692539306
DUBLIN CITY,Japanese,5bc77e62780eee002cbb25ff,Eatokyo,53.35035,-6.2574744
DUBLIN CITY,Japanese,51cf3271498effd0114b1bf3,Okayu,53.359735,-6.240188
DUBLIN CITY,Japanese,4b17c44df964a520f8c723e3,Chai Yo,53.335800115840144,-6.24761904131799
DUBLIN CITY,Japanese,5c0bd800772fbc002cbe741c,Sisu Izakaya,53.34126,-6.2645884
DUBLIN CITY,Japanese,58d8ff008ee560562cbe6fe3,Kokoro,53.338334,-6.253349
DUBLIN CITY,Japanese,534bd977498e2f2d7392ceb5,J2 Sushi & Tea,53.34877754690367,-6.247973357330561
DUBLIN CITY,Japanese,4edccdcd7ee5e8e3e9a9e833,J's Noodle & Sushi House,53.34682720322453,-6.256909653135199
DUBLIN CITY,Japanese,56ed9201498e4f224492f47f,Rafa's Temaki,53.3446483283918,-6.267454842498931
DUBLIN CITY,Korean,4aff06bdf964a5202f3322e3,The Hop House (Kim Chi),53.35298138036261,-6.260771692539306
DUBLIN CITY,Korean,4d4f09c623a76dcbb97c66dc,Arisu,53.34892208383444,-6.268963589655413
DUBLIN CITY,Korean,4b26b074f964a5208c7f24e3,Hilan Korean & Chinese Restaurant,53.34866097636511,-6.268820096961752
DUBLIN CITY,Korean,5cf3f5747564f7002c959805,Chimac,53.341072,-6.265734
DUBLIN CITY,Korean,564e24a4498e86dce051e2ac,Drunken Fish,53.349332678007045,-6.244476268934863
DUBLIN CITY,Korean,573db5d8498ec17ea1b8c78f,Brothers Dosirak,53.34766236760908,-6.268121095615085
DUBLIN CITY,Korean,53dbdc77498ef9ec1881d5ac,Hai Lan,53.344206785554164,-6.265408809061963
DUBLIN CITY,Korean,4b522a37f964a520cc6c27e3,Bonga Korean BBQ & Karaoke,53.349063661912595,-6.268966326290825
DUBLIN CITY,Korean,4bb635912f70c9b6070d8530,Hanyang Korean BBQ,53.34678667876558,-6.264848135312842
DUBLIN CITY,Malay,58f1fdb035f98340ef1f4a51,Kopitiam,53.349140411357595,-6.269004055089808
DUBLIN CITY,Malay,524c8a2511d20e5a8a3a6e86,Shangri La,53.35084,-6.282299
DUBLIN CITY,Malay,532c3817498eb90d6588ebb3,Moonsoon Café,53.34644953802993,-6.279982538522855
DUBLIN CITY,Malay,4e0cc5a2e4cdc8c1cdec1a25,Saga,53.36030067460026,-6.260541742790033
DUBLIN CITY,Thai,4af339e7f964a520e2eb21e3,Saba,53.34122566239105,-6.2620529537427005
DUBLIN CITY,Thai,4b4c956cf964a520bfb626e3,Thai Spice,53.351012305872956,-6.251300535672897
DUBLIN CITY,Thai,4b27746bf964a520938624e3,Baan Thai Restaurant,53.328831514192956,-6.230289809266218
DUBLIN CITY,Thai,4af83d9bf964a520910b22e3,Koh Restaurant & Cocktail Lounge,53.34741370636743,-6.2655894268340075
DUBLIN CITY,Thai,4b6c5124f964a52027302ce3,Thai Orchid,53.34580172203244,-6.259269779539863
DUBLIN CITY,Thai,4d9080bfc479a35dd4cc7297,Camile Thai,53.36225143276685,-6.2726819907406846
DUBLIN CITY,Thai,4f436f57e4b0804937c83734,Neon,53.335410738191186,-6.2652175059418305
DUBLIN CITY,Thai,529109f511d2fae8769bc9bf,Opium,53.336637300887,-6.26611988158487
DUBLIN CITY,Thai,510d4db8e4b0256d77831e74,Red Torch Ginger,53.343452038525804,-6.261806343431996
DUBLIN CITY,Thai,4af336e4f964a520caeb21e3,Kanum Thai,53.33393953515215,-6.24565717120064
DUBLIN CITY,Thai,568d1aec498e09bdc4eefccc,Sanuk Thai,53.32985480495402,-6.232338529621999
DUBLIN CITY,Thai,56eb0b85498e64058fc58fa4,Saba,53.33348156774771,-6.243921730883121
DUBLIN CITY,Thai,4dcfea03fa7664b7c6cc0141,Old Town Café Noodle Box,53.337000513458335,-6.265654893058264
DUBLIN CITY,Thai,4cefb9d7ed62721e7ff861fd,Yum Thai,53.341845764651204,-6.258461808139115
DUBLIN CITY,Thai,503e359fe4b0523977b1e6e1,Kanoodle,53.36093933517757,-6.1823218781856015
DUBLIN CITY,Thai,55c0ae60498e4d3480475868,Camile,53.3441973925399,-6.249327134420442
DUBLIN CITY,Thai,520e639711d255c4ec52c3b7,Bachelors Wok Café,53.347111541160466,-6.260948622779357
DUBLIN CITY,Thai,5220a53a11d21d8bc29c3d4b,Hx46,53.32756009699546,-6.2772526911862725
DUBLIN CITY,Thai,4e25fa261f6e58da2b1aff79,Mi Thai,53.351565,-6.283238
